"phenotype"	"L3034"	"L3250"	"L3382"	"L3561"	"L3770"	"L4716"	"L5327"	"L5436"	"L5651"	"L6050"	"L6325"	"L6737"	"L4797"	"L6371"	"L6473"	"L6617"	"L6787"	"L6986"	"L7230"	"L7231"	"L7232"	"L7233"	"L7234"	"L7235"	"L7236"	"L3356"	"L3519"	"L5343"	"L7205"	"L7229"	"L7238"	"L6909"	"L7190"	"L7274"	"L7329"	"L7425"	"L7454"	"L7504"	"L7534"	"L7549"	"L7568"	"L7761"	"L7762"	"L7763"	"L7764"	"L7765"	"L7767"	"L4235"	"L5258"	"L6435"	"L6619"	"L747"	"L7769"	"L7770"	"L7771"	"L7772"	"L7773"	"L7775"	"L7776"	"L7777"	"L7778"	"L7779"	"L7780"	"L7781"	"L7782"	"L1086"	"L2971"	"L3243"	"L7784"	"L7785"	"L7786"	"L7787"	"L7788"	"L7789"	"L7790"	"L7791"	"L7792"	"L7794"	"L7795"	"L7796"
"1"	"CD4_Tcells"	29.81473692	44.39822409	45.66377479	10.91679053	22.13092612	20.1596357	344.1284959	83.39275272	42.94343559	412.5118755	36.62652156	14.63418055	6.322390049	41.6391614	28.27133472	4.049443836	15.48909862	13.69344618	7.429590928	11.86970727	15.67318193	3.684153533	16.7283539	20.85025746	10.95542153	21.03687207	12.58962675	112.5135718	53.54037515	40.83801348	53.89287041	100.7992444	39.34706973	28.56850955	118.2235102	49.24339367	167.2566668	38.9866342	54.79834076	22.99831776	1.079777066	62.17051474	8.255077322	141.8326223	69.4642334	30.89297924	0	39.87118758	44.54893812	149.886932	48.9233895	68.52794505	48.70878804	99.22060682	22.41224593	36.88833396	62.7970747	79.31420197	117.3222189	5.734614937	182.3565008	0	233.1112171	5.295413987	31.41638237	105.6980587	51.89099458	98.23620369	98.80075926	21.91128945	448.3677131	55.38700236	7.038108543	8.772101909	89.60718087	56.08271798	119.9040577	49.00721401	30.52874642	7.831162349
"2"	"CD3+CD8-KI67+"	0.310525311	0.256603222	2.826051003	0	0	0	2.341925883	5.273660187	1.399511683	2.110035169	0	0	0	0	0	0	0.267935804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.454926901	0.824778592	0.596175048	2.41587547	0.292932185	2.742830074	3.211964513	2.175866011	1.264174541	0.795828373	0.26897781	0.996298594	11.02223091	0.256071179	0.570196231	0	4.271912956	0.25074236	0.618863798	1.70276292	0.830279289	0.578699183	4.346461025	1.31452027	0.803776205	4.625019793	0.297984771	1.693701921	0.653899925	2.748421419	0	0.544670542	0	1.171927302	1.124447432	5.082683107	0.578213965	2.023253152	0.275795931	10.08535003	0	0.670296052	0	1.134458589	2.197436119	7.258484147	4.947843655	0.510715788	0
"3"	"CD8_Tcells"	16.37647564	20.13120032	13.72096949	12.07098246	16.15904686	30.99846324	60.23448919	72.97236628	30.41897429	232.1038686	14.65060862	7.760190255	4.214926699	31.01181413	20.13636378	1.730947918	8.031941718	9.66635418	2.786096598	3.465422169	8.317065053	1.582322018	6.583980856	5.613530855	4.57851975	30.93746484	12.49519643	18.22242494	46.40165847	30.20806923	67.10375269	63.6052769	11.67719095	20.880321	96.53365226	21.26809373	67.31826833	18.17214338	21.98290078	54.6509757	5.238975048	30.21779189	15.48254611	62.18961523	35.10229719	43.67618948	12.05358219	0	16.27059659	24.85925527	13.04842296	30.54749486	11.18989146	45.67380197	7.279966095	16.03283837	28.42090849	28.01149424	91.77882081	5.78522663	55.29728923	0	216.8411709	9.422000387	7.057482003	17.99115892	37.45437674	32.82621643	41.80422766	12.61116534	65.57573873	41.00659797	3.016332233	21.53152287	15.50175944	77.27725467	222.1458408	11.35460976	7.957454094	4.270152862
"4"	"Tregs"	3.06773675	0.472441384	5.72297686	1.288009039	0.568815401	1.381518345	17.02696324	18.28179954	6.639005302	17.93529894	0	0.776019026	0	0	1.334478898	0	5.071427612	1.015079556	1.857397732	0.888252032	0.306470715	0.654532485	6.847789473	0	0.337064503	1.138890161	7.7969146	10.69700011	7.138716687	0.919396335	29.66365237	7.667466594	5.040641432	1.936908992	0	1.470933693	6.33396482	0	0.305946502	3.899112132	0	5.766880949	1.901543213	12.4416219	0.901894285	0	0	0	0.25074236	16.36604356	3.08161401	0.553519526	2.797246903	1.946505157	1.415572376	6.100162011	0.420456345	6.666908499	26.83570132	1.307799849	4.603493916	0	21.03622243	0.926638837	0.585963651	2.248894865	3.372764353	1.66538609	12.13641601	2.482163381	11.79119828	2.805055121	1.340592103	0.79746381	8.590529552	21.42537773	17.32357478	4.013513036	5.766232303	0.262200098
"5"	"CD3+CD8+KI67+"	0	0	0.430995136	0.612718217	0	0	0	1.757886729	1.914436659	2.110035169	0	0	0	0	0.755610226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.677792379	1.657221341	1.156977254	5.392673014	3.755526997	2.566622646	1.835408293	2.799172514	7.896517026	1.039799495	3.884036278	2.40189643	10.50672535	0.901894285	6.272158538	0	0	0.529752411	0.636882597	0.27719977	0.830279289	0.578699183	4.274739231	1.954797906	1.60755241	6.727301517	2.167739058	4.604401345	0	3.729491951	0	1.943984878	0	0	2.248894865	3.355149117	0.271793031	3.036553735	0.906579627	1.259920056	11.57534927	0.670296052	2.39239143	0	23.75007082	12.70234726	5.472435487	1.095610895	0.565125907
"6"	"CD3+FOXP3+KI67+"	0	0	2.154975679	0	0	0	0.303760737	4.846701145	0.450199062	0	0	0	0	0	0	0	0.803807411	0	0	0	0	0	0	0	0	0	0	0.300648863	1.784679172	0.27663431	0.585503404	0.276593749	2.100267263	0	0	0	0	0	0	0.359764202	0	0.53795562	0.197837603	3.446758944	0	0	0	0	0	0.955323896	0.27719977	0	0	0	0.53922553	0	1.681825379	0.84918983	2.717943433	0	0.692939178	0	0.272335271	0	0	1.124447432	0.618514733	0	0	0	0	0	0	0	0	6.297838834	0.453655259	2.86041838	1.095610895	0
"7"	"KI67_Tcells"	0.310525311	0.256603222	5.412021819	0.612718217	0	0	2.64568662	11.87824806	3.764147404	4.220070338	0	0	0	0	0.755610226	0	1.071743214	0	0	0	0	0	0	0	0	0	0	0.300648863	1.784679172	0.27663431	0.585503404	8.409313029	4.582267197	1.753152302	7.808548484	4.048459182	5.30945272	5.047372806	4.975038525	9.520455769	1.835627868	4.690969708	3.596032628	24.97571521	1.157965463	6.842354769	0	4.271912956	0.780494772	2.211070291	2.25716246	1.660558579	1.157398365	8.621200255	3.808543706	2.411328615	13.03414669	3.314913659	9.016046699	0.653899925	7.170852549	0	2.760990691	0	1.171927302	4.49778973	9.056346957	0.850006996	5.059806887	1.182375558	11.34527009	11.57534927	1.340592103	2.39239143	1.134458589	32.24534577	20.41448666	13.28069752	2.701937578	0.565125907
"8"	"CD3_Tcells"	49.56947462	65.25846902	70.51974296	24.88850025	38.85878838	52.53961728	424.0356349	186.5251666	83.76556259	666.7711134	51.27713018	23.17038983	10.53731675	72.65097553	50.49778762	5.780391754	29.66421117	24.37487991	12.07308526	16.22338148	24.29671769	5.921008036	30.16012423	26.46378832	15.87100578	53.11322706	32.88173777	141.7336457	108.8654295	72.24211336	151.2457789	180.481301	60.64716931	53.13889185	222.565711	76.03088028	246.2183527	62.20615039	82.06222657	91.06886136	8.154379982	102.8461573	29.23519927	241.4395746	106.6263903	81.41152349	12.05358219	44.14310054	61.85077184	193.3233011	67.31058893	101.289518	63.85332476	155.4621142	34.9163281	61.43266295	104.6725862	117.3075184	244.9527878	13.48154134	249.4281364	0	473.7496011	15.64405321	40.23175533	130.4359022	101.7744826	133.5778132	157.8012098	38.18699373	537.0799202	110.7740047	12.73562498	33.49348002	114.8339285	187.0306961	379.7879599	77.65603433	46.9543704	12.92864122
